DISTRICT,CONSTITUENCY,SUBCOUNTY,PARISH,STATION_NAME,Females,F_18.24,F_25.30,F_31.34,F_35.39,F_40.44,F_45.49,F_50.54,F_55.59,F_60.64,F_65.up,Males,M_18.24,M_25.30,M_31.34,M_35.39,M_40.44,M_45.49,M_50.54,M_55.59,M_60.64,M_65.up,Original_Station_ID_2016
IGANGA,BUGWERI COUNTY,BUYANGA,IDUDI,KIKUNYU BORE-HOLE AREA (A-M),291,69,58,39,29,27,28,15,10,7,9,396,109,76,35,52,47,37,13,11,5,11,O-7-30-1-5-6
IGANGA,BUGWERI COUNTY,BUYANGA,IDUDI,IDUDI B,536,144,116,59,56,53,43,28,14,10,13,286,88,58,20,34,28,18,21,10,2,7,O-7-30-1-5-8
IGANGA,BUGWERI COUNTY,BUYANGA,IDUDI,KIKUNYU BORE-HOLE AREA (N-Z),519,132,122,61,62,44,28,32,18,8,12,108,26,22,14,13,12,5,10,3,0,3,O-7-30-1-5-9
IGANGA,BUGWERI COUNTY,BUYANGA,IDUDI,IDUDI A - [M-NAM] BUKAMBO BOREHOLE,393,112,85,45,48,36,24,15,11,6,11,247,83,53,21,22,28,20,7,7,0,6,O-7-30-1-5-5
IGANGA,BUGWERI COUNTY,BUYANGA,IDUDI,IDUDI C - COMMUNITY FAITH CHURCH (A-M),215,57,54,25,19,16,16,10,8,4,6,297,88,78,32,38,22,18,11,2,3,5,O-7-30-1-5-7
IGANGA,BUGWERI COUNTY,BUYANGA,IDUDI,IDUDI A -[NAL-Z] WAMBALE BOREHOLE,343,112,89,38,29,16,22,14,6,4,13,184,72,35,15,21,10,11,5,3,5,7,O-7-30-1-5-10
IGANGA,BUGWERI COUNTY,BUYANGA,IDUDI,IDUDI C - COMMUNITY FAITH CHURCH (N-Z),357,111,86,33,29,37,15,14,13,10,9,102,29,17,18,13,11,6,5,2,0,1,O-7-30-1-5-11
IGANGA,BUGWERI COUNTY,BUYANGA,KALALU,KALALU A - KALALU PRI SCH (A-M),168,46,28,14,21,19,8,5,9,5,13,367,97,59,28,36,42,40,26,12,9,18,O-7-30-1-6-1
IGANGA,BUGWERI COUNTY,BUYANGA,KALALU,KALALU A - KALALU PRI SCH (N-Z),381,86,49,39,44,39,34,25,17,14,34,122,30,25,11,3,11,8,7,6,7,14,O-7-30-1-6-2
IGANGA,BUGWERI COUNTY,BUYANGA,KALALU,KALALU B - CHURCH OF UGANDA (A-M),216,45,30,21,22,25,21,16,10,5,21,371,109,65,27,35,39,18,24,13,12,29,O-7-30-1-6-3
IGANGA,BUGWERI COUNTY,BUYANGA,KALALU,KALALU B - CHURCH OF UGANDA (N-Z),353,91,58,35,47,33,28,25,8,6,22,157,36,20,19,10,18,9,16,6,2,21,O-7-30-1-6-4
IGANGA,BUGWERI COUNTY,BUYANGA,LUBIRA,LUBIRA - LUBIRA PRI. SCH. (A-M),183,37,26,16,21,20,12,15,15,6,15,400,114,72,24,27,41,37,24,22,11,28,O-7-30-1-7-1
IGANGA,BUGWERI COUNTY,BUYANGA,LUBIRA,BUTYABULE CHURCH,329,95,34,31,35,42,24,18,11,5,34,317,93,59,23,29,17,25,26,12,12,21,O-7-30-1-7-2
IGANGA,BUGWERI COUNTY,BUYANGA,LUBIRA,LUBIRA -LUBIRA MOSQUE (N-Z),371,91,74,28,40,31,30,25,23,9,20,78,27,15,7,6,5,5,2,1,1,9,O-7-30-1-7-3
IGANGA,BUGWERI COUNTY,IBULANKU,BUTENDE,BUKOTERA PRI. SCHOOL,271,68,45,18,24,31,18,16,14,9,28,263,75,39,21,26,27,21,16,12,4,22,O-7-30-2-10-1
IGANGA,BUGWERI COUNTY,IBULANKU,BUTENDE,BUTENDE - (A-M) BUTENDE C.O.U.,343,70,68,35,29,37,27,20,11,10,36,556,161,95,54,55,46,41,28,23,17,36,O-7-30-2-10-2
IGANGA,BUGWERI COUNTY,IBULANKU,BUTENDE,LUSAGHA C.O.U.,338,87,49,39,38,24,29,19,18,10,25,266,71,52,21,28,20,21,15,14,5,19,O-7-30-2-10-3
IGANGA,BUGWERI COUNTY,IBULANKU,BUTENDE,BUTENDE - (N-Z) BUTENDE ISLAMIC PRI. SCH.,575,153,89,56,56,55,52,26,26,24,38,208,67,31,18,17,18,15,11,4,5,22,O-7-30-2-10-4
IGANGA,BUGWERI COUNTY,IBULANKU,IBAAKO,BUSESA MIXED SCHOOL (A-M),202,49,39,10,25,14,11,10,8,11,25,360,93,76,38,36,41,19,24,7,8,18,O-7-30-2-11-1
IGANGA,BUGWERI COUNTY,IBULANKU,IBAAKO,IBAAKO PR SCHOOL,519,132,85,37,50,50,45,35,30,15,40,388,103,65,33,42,32,28,24,15,13,33,O-7-30-2-11-2
IGANGA,BUGWERI COUNTY,IBULANKU,IBAAKO,BUGWERI COUNTY HQTRS (M-Z),222,70,40,17,28,16,16,15,6,4,10,304,102,55,23,35,25,22,15,8,4,15,O-7-30-2-11-3
IGANGA,BUGWERI COUNTY,IBULANKU,IBAAKO,BUSESA MIXED SCHOOL (N-Z),347,92,63,34,38,29,25,16,13,12,25,116,38,19,9,10,13,9,4,7,1,6,O-7-30-2-11-4
IGANGA,BUGWERI COUNTY,IBULANKU,IBAAKO,BUGWERI COUNTY HQTRS (N-Z),327,102,59,29,40,25,24,8,13,7,20,115,47,12,7,15,8,12,2,2,5,5,O-7-30-2-11-5
IGANGA,BUGWERI COUNTY,IBULANKU,IBULANKU,IBULANKU - IBULANKU PRI. SCH. (N-Z),531,146,94,56,46,50,35,36,16,12,40,180,59,26,16,22,18,11,3,6,6,13,O-7-30-2-12-2
IGANGA,BUGWERI COUNTY,IBULANKU,IBULANKU,MULANGA PR SCHOOL,275,73,43,26,21,23,18,21,14,8,28,249,70,52,16,25,19,16,13,5,8,25,O-7-30-2-12-3
IGANGA,BUGWERI COUNTY,IBULANKU,IBULANKU,BUSOLERA,231,55,30,24,24,18,22,16,14,11,17,206,56,36,23,22,19,8,15,6,10,11,O-7-30-2-12-4
IGANGA,BUGWERI COUNTY,IBULANKU,IBULANKU,IBULANKU - IBULANKU S/COUNTY HQTRS (A-M),251,64,38,21,33,19,17,12,12,5,30,521,143,91,51,58,52,38,34,11,5,38,O-7-30-2-12-1
IGANGA,BUGWERI COUNTY,IBULANKU,NAMIGANDA,NAMIGANDA LC1,251,62,37,22,25,18,16,17,18,7,29,240,57,37,25,25,31,19,4,5,8,29,O-7-30-2-15-1
IGANGA,BUGWERI COUNTY,IBULANKU,NAMIGANDA,BUKENKE MOSQUE,199,50,30,17,16,22,10,12,8,6,28,202,57,30,16,12,21,18,13,7,7,21,O-7-30-2-15-2
IGANGA,BUGWERI COUNTY,IBULANKU,NAWANSEGA,BUMPINGO PR SCHOOL,362,99,71,31,35,32,24,25,10,5,30,277,71,58,20,32,28,16,12,8,2,30,O-7-30-2-16-1
IGANGA,BUGWERI COUNTY,IBULANKU,NAWANSEGA,NAKISENYE MOSQUE,126,30,21,7,18,12,10,10,6,7,5,131,45,21,11,11,9,6,10,3,4,11,O-7-30-2-16-3
IGANGA,BUGWERI COUNTY,IBULANKU,NAWANSEGA,BUGODHANDALA MOSQUE,416,103,60,34,46,54,23,18,22,18,38,401,115,63,36,49,31,32,29,11,8,27,O-7-30-2-16-4
IGANGA,BUGWERI COUNTY,IBULANKU,NAWANSEGA,BUSOOLA-BUMPINGU JUNCTION,268,68,38,20,27,28,13,14,25,6,29,241,69,47,18,22,29,13,11,8,5,19,O-7-30-2-16-5
IGANGA,BUGWERI COUNTY,IBULANKU,NSAALE,BUWABE PRI SCHOOL (A-M),193,55,26,18,24,18,17,7,7,5,16,324,104,58,29,32,29,29,15,4,6,18,O-7-30-2-17-1
IGANGA,BUGWERI COUNTY,IBULANKU,NSAALE,NAKIBEMBE PRI SCHOOL,277,73,45,20,37,26,17,15,12,8,24,267,77,43,16,26,29,28,14,10,10,14,O-7-30-2-17-2
IGANGA,BUGWERI COUNTY,IBULANKU,NSAALE,BUYEBE MOSQUE,232,65,33,27,23,17,14,12,10,11,20,221,61,41,20,30,14,12,12,7,4,20,O-7-30-2-17-3
IGANGA,BUGWERI COUNTY,IBULANKU,NSAALE,NSAALE,236,68,45,19,17,21,16,24,11,6,9,252,68,51,26,20,22,13,12,10,12,18,O-7-30-2-17-4
IGANGA,BUGWERI COUNTY,IBULANKU,NSAALE,NAKASUBI MOSQUE,231,59,41,25,33,21,9,8,6,11,18,225,78,45,17,21,16,18,10,6,5,9,O-7-30-2-17-5
IGANGA,BUGWERI COUNTY,IBULANKU,NSAALE,BUWABE PRI SCHOOL (N-Z),373,108,61,30,43,37,29,12,14,15,24,101,24,18,11,9,13,7,2,5,5,7,O-7-30-2-17-6
IGANGA,BUGWERI COUNTY,IBULANKU,NSAALE,WANTE COOPERATIVE,214,50,34,18,20,28,12,10,12,10,20,205,58,33,20,16,23,16,7,5,7,20,O-7-30-2-17-7
IGANGA,BUGWERI COUNTY,IBULANKU,BUNIANTOLE,BUNYANTOLE PRI. SCHOOL,262,62,49,20,32,15,14,16,12,15,27,278,79,56,19,32,22,9,13,12,12,24,O-7-30-2-9-1
IGANGA,BUGWERI COUNTY,IBULANKU,BUNIANTOLE,NAKIVUMBI MOSQUE,255,54,45,32,34,19,19,11,14,7,20,220,59,34,15,17,17,25,21,13,5,14,O-7-30-2-9-2
IGANGA,BUGWERI COUNTY,MAKUUTU,KASOZI,KASOZI RC OFFICE,440,108,67,40,57,33,29,26,22,10,48,405,149,55,36,31,39,22,23,11,12,27,O-7-30-3-18-1
IGANGA,BUGWERI COUNTY,MAKUUTU,KASOZI,WAIBALE PRI.SCH,223,57,49,21,25,15,18,13,4,11,10,173,43,37,15,20,10,14,9,10,3,12,O-7-30-3-18-2
IGANGA,BUGWERI COUNTY,MAKUUTU,KASOZI,BUSIMO PRI. SCH.,339,93,63,28,33,25,20,18,18,8,33,254,78,47,25,18,22,8,16,12,10,18,O-7-30-3-18-3
IGANGA,BUGWERI COUNTY,MAKUUTU,KASOZI,NAMAVUNDU PRI SCH.,257,59,55,21,23,17,14,15,17,10,26,216,52,44,26,18,17,11,14,15,4,15,O-7-30-3-18-4
IGANGA,BUGWERI COUNTY,MAKUUTU,KASOZI,BUKOSE NOAH'S CHURCH,309,79,59,26,44,27,21,16,10,4,23,250,59,59,21,24,19,20,14,9,10,15,O-7-30-3-18-5
IGANGA,BUGWERI COUNTY,MAKUUTU,KASOZI,NONDWE T/CENTRE,469,123,96,40,49,31,33,32,21,22,22,390,115,74,38,44,33,21,18,17,9,21,O-7-30-3-18-6
IGANGA,BUGWERI COUNTY,MAKUUTU,KASOZI,KASOZI CDM CHURCH,168,37,31,12,25,9,11,13,8,8,14,160,41,25,15,15,14,8,12,8,5,17,O-7-30-3-18-7
IGANGA,BUGWERI COUNTY,MAKUUTU,KASOZI,BUNAKATE CHURCH,158,38,24,20,10,10,13,10,7,7,19,120,33,17,10,10,8,10,7,4,6,15,O-7-30-3-18-8
IGANGA,BUGWERI COUNTY,MAKUUTU,KIGULAMO,BUBETO,383,103,73,28,35,37,28,30,10,9,30,324,91,58,35,26,26,28,21,12,8,19,O-7-30-3-19-1
IGANGA,BUGWERI COUNTY,MAKUUTU,KIGULAMO,NAITANDU CENTRE A,261,64,53,21,26,22,32,11,9,7,16,225,80,39,19,19,23,8,18,3,4,12,O-7-30-3-19-2
IGANGA,BUGWERI COUNTY,MAKUUTU,KIGULAMO,NAITANDU CENTRE B,274,70,44,28,28,26,21,22,9,11,15,245,70,37,20,23,16,24,17,17,3,18,O-7-30-3-19-3
IGANGA,BUGWERI COUNTY,MAKUUTU,MAKANDWA,MAWOLOLO ISLAMIC SCHOOL,389,113,53,24,45,41,13,36,14,20,30,325,99,38,25,31,34,19,24,19,8,28,O-7-30-3-20-1
IGANGA,BUGWERI COUNTY,MAKUUTU,MAKANDWA,NABWEYA CATHOLIC CHURCH,268,81,47,13,24,21,20,16,14,7,25,228,64,47,18,18,17,19,12,11,5,17,O-7-30-3-20-3
IGANGA,BUGWERI COUNTY,MAKUUTU,MAKANDWA,NAKAVULE - MAKANDWA PRI SCHOOL,154,39,38,10,16,16,12,6,8,5,4,133,43,17,16,11,9,9,9,7,3,9,O-7-30-3-20-4
IGANGA,BUGWERI COUNTY,MAKUUTU,MAKANDWA,MAKANDWA CENTRAL - MAKANDWA PRI,468,139,90,36,37,39,30,28,25,14,30,421,124,88,41,41,27,21,31,15,12,21,O-7-30-3-20-2
IGANGA,BUGWERI COUNTY,MAKUUTU,MAKUUTU,MAKUUTU CENTRE,375,103,66,28,42,38,20,26,20,6,26,302,116,42,26,16,21,24,14,14,11,18,O-7-30-3-21-1
IGANGA,BUGWERI COUNTY,MAKUUTU,MAKUUTU,BUWONGO CENTRE,397,91,78,35,39,44,22,29,22,12,25,344,105,46,27,38,33,24,19,19,12,21,O-7-30-3-21-2
IGANGA,BUGWERI COUNTY,MAKUUTU,MAKUUTU,BUNALWENYI PRI. SCH.,291,80,51,26,23,32,23,10,10,8,28,273,69,60,26,21,17,19,14,14,5,28,O-7-30-3-21-3
IGANGA,BUGWERI COUNTY,MAKUUTU,MAKUUTU,BUNALWENYI MOSQUE AREA,294,70,57,26,30,14,23,21,17,9,27,232,60,42,12,26,21,12,10,16,7,26,O-7-30-3-21-4
IGANGA,BUGWERI COUNTY,MAKUUTU,MAKUUTU,NAKADULI NURSERY SCHOOL,147,35,26,14,15,13,10,4,11,6,13,112,30,16,9,15,9,5,6,5,6,11,O-7-30-3-21-5
IGANGA,BUGWERI COUNTY,MAKUUTU,MAKUUTU,BUSWIRIRI MOSQUE AREA,155,44,24,15,9,16,12,9,7,1,18,130,32,21,10,14,8,11,10,7,0,17,O-7-30-3-21-6
IGANGA,BUGWERI COUNTY,NAMALEMBA,IDINDA,NABIRERE RCM SCHOOL A,314,89,41,26,28,27,23,16,15,6,43,290,87,36,25,20,30,23,23,9,6,31,O-7-30-4-22-1
IGANGA,BUGWERI COUNTY,NAMALEMBA,IDINDA,NABIRERE RCM SCHOOL B,369,105,64,37,39,38,23,26,13,5,19,358,119,55,27,36,26,20,23,14,10,28,O-7-30-4-22-2
IGANGA,BUGWERI COUNTY,NAMALEMBA,IDINDA,IDINDA PR SCHOOL,191,56,24,16,13,15,18,10,13,9,17,181,46,27,20,16,18,11,11,7,6,19,O-7-30-4-22-3
IGANGA,BUGWERI COUNTY,NAMALEMBA,IDINDA,BULUGODHA MOSQUE,233,64,42,19,18,25,19,15,9,4,18,202,60,41,14,19,11,12,16,8,8,13,O-7-30-4-22-4
IGANGA,BUGWERI COUNTY,NAMALEMBA,IDINDA,BUSWIGA FIELD,183,47,34,18,19,15,12,10,6,7,15,161,53,33,13,15,6,12,10,4,3,12,O-7-30-4-22-5
IGANGA,BUGWERI COUNTY,NAMALEMBA,MINANI,NAKAMINI MOSQUE,285,72,49,19,34,24,25,16,16,11,19,237,63,51,21,21,24,12,15,11,5,14,O-7-30-4-23-1
IGANGA,BUGWERI COUNTY,NAMALEMBA,MINANI,MINANI PR SCHOOL,184,36,36,16,25,19,8,14,7,7,16,173,48,20,15,19,18,17,10,9,6,11,O-7-30-4-23-2
IGANGA,BUGWERI COUNTY,NAMALEMBA,MINANI,ANAHADHA ISLAMIC INSTITUTE,425,116,49,36,52,38,29,25,15,23,42,407,122,74,25,33,40,37,24,14,6,32,O-7-30-4-23-3
IGANGA,BUGWERI COUNTY,NAMALEMBA,MINANI,MINANI HIDAYA MOSQUE,261,62,55,26,32,21,7,17,11,6,24,257,81,48,23,20,19,13,14,14,4,21,O-7-30-4-23-4
IGANGA,BUGWERI COUNTY,NAMALEMBA,MINANI,KITUKIRO DISCIPLINE CHURCH,192,59,27,15,24,22,12,7,6,4,16,147,30,26,13,16,23,10,10,3,2,14,O-7-30-4-23-5
IGANGA,BUGWERI COUNTY,NAMALEMBA,NAMALEMBA,BUTONGOLE MOSQUE,321,101,50,24,36,29,20,18,15,8,20,279,68,55,30,31,34,18,11,8,8,16,O-7-30-4-24-1
IGANGA,BUGWERI COUNTY,NAMALEMBA,NAMALEMBA,NAWANGISA MIRACLE CHURCH,308,73,56,35,34,27,21,14,15,12,21,257,72,47,19,30,31,24,10,5,5,14,O-7-30-4-24-2
IGANGA,BUGWERI COUNTY,NAMALEMBA,NAMALEMBA,LIGHT & SHINE CHURCH,325,71,55,35,34,29,26,16,15,14,30,279,71,61,22,28,21,12,22,15,9,18,O-7-30-4-24-3
IGANGA,BUGWERI COUNTY,NAMALEMBA,NAMALEMBA,BUNIO MOSQUE,281,68,54,20,36,19,19,25,8,9,23,243,68,42,21,24,19,14,16,8,8,23,O-7-30-4-24-5
IGANGA,BUGWERI COUNTY,NAMALEMBA,NAMALEMBA,NAIGOMBWA PRI. SCH.,236,50,43,18,22,28,22,10,12,12,19,196,56,34,14,15,16,16,18,8,5,14,O-7-30-4-24-6
IGANGA,BUGWERI COUNTY,NAMALEMBA,NAMALEMBA,NAWANGISA PRIMARY SCHOOL,345,101,50,25,40,28,35,22,15,6,23,275,69,58,21,33,23,21,16,6,4,24,O-7-30-4-24-7
IGANGA,BUGWERI COUNTY,NAMALEMBA,NAMUNYUMYA,KINAMPEERE MOSQUE,290,61,42,24,30,31,31,18,14,10,29,268,63,41,24,22,30,21,22,16,11,18,O-7-30-4-25-1
IGANGA,BUGWERI COUNTY,NAMALEMBA,NAMUNYUMYA,MAGANDA'S BOREHOLE,169,45,25,15,21,10,16,11,5,5,16,153,36,30,19,10,9,8,17,5,7,12,O-7-30-4-25-2
IGANGA,BUGWERI COUNTY,NAMALEMBA,NAMUNYUMYA,NAMUNYUMYA H/C II,347,95,51,37,34,32,31,24,14,13,16,346,107,78,28,31,19,19,18,20,9,17,O-7-30-4-25-3
IGANGA,BUGWERI COUNTY,BUSEMBATIA TOWN COUNCIL,BUSEMBATIA CENTRAL WARD,BUSEMBATIA GINNERY,302,71,53,29,37,27,22,23,13,14,13,280,86,57,23,22,28,22,22,7,5,8,O-7-30-5-26-1
IGANGA,BUGWERI COUNTY,BUSEMBATIA TOWN COUNCIL,BUSEMBATIA CENTRAL WARD,BUSEMBATIA PRI. SCH. A,184,36,48,16,15,33,10,13,7,4,2,145,51,35,8,12,15,10,4,4,5,1,O-7-30-5-26-2
IGANGA,BUGWERI COUNTY,BUSEMBATIA TOWN COUNCIL,BUSEMBATIA MARKET WARD,BUSEMBATIA DISPENSARY B,144,33,29,18,18,14,8,11,8,2,3,137,35,36,14,16,15,12,2,2,1,4,O-7-30-5-27-2
IGANGA,BUGWERI COUNTY,BUSEMBATIA TOWN COUNCIL,BUSEMBATIA MARKET WARD,BUSEMBATIA ZONE II - BUSEMBATIA,264,71,48,32,41,25,14,13,4,5,11,338,107,59,33,45,20,34,19,10,3,8,O-7-30-5-27-1
IGANGA,BUGWERI COUNTY,BUSEMBATIA TOWN COUNCIL,BUSEMBATIA MARKET WARD,BUSEMBATIA ZONE II - BUSEMBATIA WATER,381,107,78,42,38,33,28,22,13,9,11,124,48,16,14,11,9,4,7,3,5,7,O-7-30-5-27-3
IGANGA,BUGWERI COUNTY,BUSEMBATIA TOWN COUNCIL,BUYIRIMA WARD,RAILWAY STATION GROUND,287,79,54,27,25,19,21,22,14,7,19,248,60,43,23,26,18,23,24,12,7,12,O-7-30-5-28-1
IGANGA,BUGWERI COUNTY,BUSEMBATIA TOWN COUNCIL,BUYIRIMA WARD,BUYIRIMA A - BUSEMBATIA HIGH,280,78,65,14,25,29,18,20,16,4,11,226,61,47,19,24,21,16,12,8,4,14,O-7-30-5-28-3
IGANGA,BUGWERI COUNTY,BUSEMBATIA TOWN COUNCIL,KAKOGE WARD,ST. RONALD CHURCH,332,94,59,34,39,26,21,21,19,4,15,248,63,44,22,29,33,18,11,15,3,10,O-7-30-5-29-1
IGANGA,BUGWERI COUNTY,BUSEMBATIA TOWN COUNCIL,KAKOGE WARD,ST. JOHN CHURCH,411,110,85,50,44,30,34,24,8,9,17,248,76,58,29,29,17,15,8,6,5,5,O-7-30-5-29-2
IGANGA,BUGWERI COUNTY,BUSEMBATIA TOWN COUNCIL,MAJENGO WARD,MAJENGO CENTRE,455,125,89,52,51,48,28,17,13,9,23,361,117,72,16,42,32,38,13,11,7,13,O-7-30-5-30-1
IGANGA,BUGWERI COUNTY,BUSEMBATIA TOWN COUNCIL,MAJENGO WARD,BUBONYE,143,42,24,7,12,8,17,13,5,5,10,135,44,36,6,9,11,10,7,6,3,3,O-7-30-5-30-2
IGANGA,BUGWERI COUNTY,IGOMBE,IGOMBE,IGOMBE CENTRE [A-M],203,61,36,18,19,17,9,7,7,8,21,375,113,68,25,37,33,25,21,9,10,34,O-7-30-6-13-1
IGANGA,BUGWERI COUNTY,IGOMBE,IGOMBE,BULYANSIME MOSLEM P/S (A-M),160,29,26,15,19,20,9,7,7,9,19,336,87,46,29,42,33,28,19,14,12,26,O-7-30-6-13-2
IGANGA,BUGWERI COUNTY,IGOMBE,IGOMBE,BUTALANGO PRI. SCH.,173,48,29,8,17,21,17,11,7,4,11,144,41,19,14,8,15,13,12,9,1,12,O-7-30-6-13-3
IGANGA,BUGWERI COUNTY,IGOMBE,IGOMBE,IGOMBE CENTRE [N-Z],356,95,55,25,44,35,19,18,18,8,39,133,38,27,11,16,17,7,6,2,6,3,O-7-30-6-13-4
IGANGA,BUGWERI COUNTY,IGOMBE,IGOMBE,BULYANSIME MOSLEM P/S (N-Z),339,74,58,36,42,30,30,25,14,11,19,122,38,20,9,10,14,5,7,3,5,11,O-7-30-6-13-5
IGANGA,BUGWERI COUNTY,IGOMBE,KIKUNYU,BUSINDA - BRIGHT STAR PRI. SCH.,456,120,91,31,53,43,42,26,19,6,25,338,107,62,29,20,16,35,24,18,7,20,O-7-30-6-14-1
IGANGA,BUGWERI COUNTY,IGOMBE,KIKUNYU,MPIITA PRI. SCH.,325,75,61,27,28,26,30,22,14,7,35,324,108,64,28,19,22,16,25,13,7,22,O-7-30-6-14-2
IGANGA,BUGWERI COUNTY,IGOMBE,KIKUNYU,KIKUNYU CENTRE,179,47,25,15,24,13,12,15,4,10,14,176,57,36,10,10,13,17,8,10,7,8,O-7-30-6-14-3
IGANGA,BUGWERI COUNTY,IGOMBE,KIKUNYU,BUBINGA - BRIGHT STAR PRI. SCH.,188,44,37,19,20,15,8,14,16,2,13,147,47,25,15,14,12,11,7,2,2,12,O-7-30-6-14-4
IGANGA,BUGWERI COUNTY,IGOMBE,WALANGA,WALANGA PR SCHOOL B (A-M),169,43,28,18,12,15,8,11,10,5,19,333,86,56,33,32,30,25,23,21,6,21,O-7-30-6-31-1
IGANGA,BUGWERI COUNTY,IGOMBE,WALANGA,WALANGA PR SCHOOL B (N-Z),354,99,59,41,32,29,25,27,16,8,18,123,38,32,9,9,7,9,4,4,3,8,O-7-30-6-31-2
IGANGA,BUGWERI COUNTY,IGOMBE,WALANGA,NAWAMPENDO PR SCHOOL B,280,80,51,21,35,17,22,15,16,5,18,228,59,54,24,12,23,15,7,11,6,17,O-7-30-6-31-3
IGANGA,BUGWERI COUNTY,IGOMBE,BUBENGE,BUBENGE H/C,352,79,62,21,41,37,24,24,16,11,37,290,83,51,29,34,27,10,14,9,8,25,O-7-30-6-8-1
IGANGA,BUGWERI COUNTY,IGOMBE,BUBENGE,BUBENGE PR SCHOOL,228,55,37,22,24,27,17,16,10,6,14,234,68,47,19,25,21,17,12,8,4,13,O-7-30-6-8-2
IGANGA,BUGWERI COUNTY,IGOMBE,BUBENGE,MATOVU MOSQUE,249,64,43,10,28,24,23,11,21,4,21,229,73,43,11,20,23,21,17,8,3,10,O-7-30-6-8-3
MUBENDE,KASSANDA COUNTY NORTH,KASSANDA,KAMULI,KAMULI,237,70,47,19,27,17,12,11,7,13,14,217,59,43,25,20,21,20,8,3,9,9,O-31-167-2-11-1
MUBENDE,KASSANDA COUNTY NORTH,KASSANDA,KAMULI,BEST HOURS P/SCHOOL,260,65,56,32,24,25,21,9,4,11,13,231,55,55,26,25,18,15,8,5,10,14,O-31-167-2-11-3
MUBENDE,KASSANDA COUNTY NORTH,KASSANDA,KAMULI,MALABIGAMBO C.O.U,66,16,14,3,4,7,5,3,3,2,9,58,22,7,4,5,6,5,1,3,0,5,O-31-167-2-11-5
MUBENDE,KASSANDA COUNTY NORTH,KASSANDA,KAMULI,KINYONYI A,51,10,9,4,3,5,4,4,3,2,7,57,13,8,7,6,6,7,2,4,1,3,O-31-167-2-11-7
MUBENDE,KASSANDA COUNTY NORTH,KASSANDA,KITONGO,KITONGO,204,41,34,15,22,25,10,16,13,4,24,205,58,39,16,23,21,17,13,6,3,9,O-31-167-2-14-1
MUBENDE,KASSANDA COUNTY NORTH,KASSANDA,KITONGO,MIREMBE,246,61,52,22,30,18,12,16,11,7,17,230,57,43,17,25,20,14,14,12,6,22,O-31-167-2-14-2
MUBENDE,KASSANDA COUNTY NORTH,KASSANDA,KITONGO,KASANDA S/C HQTRS,176,45,40,19,14,14,9,11,15,0,9,146,32,30,19,19,15,10,10,7,2,2,O-31-167-2-14-3
MUBENDE,KASSANDA COUNTY NORTH,KASSANDA,KITONGO,DWALIRO A,304,77,90,34,38,21,14,9,6,10,5,298,83,67,31,47,22,22,9,6,5,6,O-31-167-2-14-4
MUBENDE,KASSANDA COUNTY NORTH,KASSANDA,KITONGO,MAKONZI,109,26,25,7,3,14,9,9,3,4,9,112,29,25,15,5,5,8,5,6,4,10,O-31-167-2-14-5
MUBENDE,KASSANDA COUNTY NORTH,KASSANDA,KITONGO,KAWAAWA,215,64,38,19,21,14,14,9,8,5,23,240,64,41,23,22,20,16,11,15,7,21,O-31-167-2-14-6
MUBENDE,KASSANDA COUNTY NORTH,KASSANDA,KITONGO,MIJUBWE,111,27,15,14,9,10,7,5,7,2,15,106,20,17,7,11,11,13,3,3,6,15,O-31-167-2-14-7
MUBENDE,KASSANDA COUNTY NORTH,KASSANDA,KITONGO,DWALIRO B,406,101,98,39,43,32,37,28,6,7,15,280,52,80,33,44,29,16,7,7,4,8,O-31-167-2-14-8
MUBENDE,KASSANDA COUNTY NORTH,KASSANDA,KITONGO,KASSANDA SECONDARY,115,38,24,14,13,2,7,5,2,3,7,92,31,19,7,13,7,6,4,1,0,4,O-31-167-2-14-9
MUBENDE,KASSANDA COUNTY NORTH,KASSANDA,KITONGO,BUSWEEKA,179,44,32,20,23,7,14,7,8,7,17,171,41,28,25,20,10,16,6,6,5,14,O-31-167-2-14-10
MUBENDE,KASSANDA COUNTY NORTH,KASSANDA,KITONGO,MWASABIKOPO,190,56,48,15,27,11,7,10,9,4,3,145,49,32,15,19,6,10,6,4,0,4,O-31-167-2-14-11
MUBENDE,KASSANDA COUNTY NORTH,KASSANDA,NABUGONDO,KYABABEEZI,223,60,30,24,19,19,16,17,13,8,17,189,52,39,16,16,11,8,9,11,6,21,O-31-167-2-15-2
MUBENDE,KASSANDA COUNTY NORTH,KASSANDA,NABUGONDO,LUSAANA-KIRAMBULA,163,38,29,15,13,11,19,12,10,3,13,154,41,32,10,13,18,4,11,2,8,15,O-31-167-2-15-4
MUBENDE,KASSANDA COUNTY NORTH,KASSANDA,NABUGONDO,KYERIMA,171,57,28,11,14,16,6,15,7,7,10,178,59,36,13,13,8,13,7,11,6,12,O-31-167-2-15-5
MUBENDE,KASSANDA COUNTY NORTH,KASSANDA,NAMABAALE,NAMABAALE,238,70,40,14,31,22,15,19,8,9,10,223,69,31,16,21,22,14,16,9,9,16,O-31-167-2-16-1
MUBENDE,KASSANDA COUNTY NORTH,KASSANDA,NAMABAALE,KATEMWA,361,91,78,44,45,21,21,27,9,9,16,360,90,79,39,44,33,19,14,9,11,22,O-31-167-2-16-4
